contract_id,creator_id,brand,niche,total_clauses,red_flag_count,compliant_clause_count,missing_kill_fee,missing_ftc_disclosure,has_perpetual_exclusivity,has_uncompensated_usage_rights,payment_terms_days,revision_rounds_stated,estimated_hidden_value_usd,risk_rating,contract_date,analysed_by_ai
CON0001,CRE0539,Squarespace,Parenting & Family,7,3,4,True,False,False,True,90,2,982.37,Critical,2026-01-25,False
CON0002,CRE0129,Codecademy,Beauty & Fashion,7,0,7,False,False,False,False,90,2,0.0,Low,2025-03-22,False
CON0003,CRE0242,Dollar Shave Club,Gaming & Esports,7,1,6,False,False,False,False,30,2,884.23,Medium,2025-11-04,True
CON0004,CRE0470,Magic Spoon,Technology & Software,7,1,6,False,False,False,False,90,2,475.52,Medium,2026-03-11,True
CON0005,CRE0004,Betterment,Sustainable Living,7,4,3,False,True,False,True,30,2,5910.63,Critical,2025-03-27,True
CON0006,CRE0093,MasterClass,Parenting & Family,7,2,5,True,False,False,False,60,Unlimited,4186.05,High,2025-12-14,False
CON0007,CRE0453,Hubspot,Sustainable Living,7,1,6,True,False,False,False,90,Unlimited,421.45,Medium,2025-12-05,True
CON0008,CRE0430,Hubspot,Parenting & Family,7,0,7,True,False,False,False,90,1,0.0,Low,2025-11-09,False
CON0009,CRE0514,Squarespace,Language Learning,7,1,6,False,False,False,False,60,Unlimited,2088.99,Medium,2025-04-24,True
CON0010,CRE0570,Brilliant,Beauty & Fashion,7,4,3,False,False,False,False,30,3,8857.34,Critical,2026-01-25,True
CON0011,CRE0223,Headspace,Pet Care,7,1,6,True,False,False,False,30,Unlimited,743.54,Medium,2025-12-22,False
CON0012,CRE0338,Shopify,Music & Audio Production,7,1,6,True,False,False,True,90,Unlimited,774.5,Medium,2025-08-01,False
CON0013,CRE0577,MasterClass,Science & Space,7,1,6,False,False,False,False,60,2,620.16,Medium,2025-11-08,True
CON0014,CRE0159,Athletic Greens,Business & Entrepreneurship,7,2,5,False,False,False,False,90,2,4347.92,High,2025-08-10,False
CON0015,CRE0041,Hover,Parenting & Family,7,1,6,False,False,False,True,30,Unlimited,1619.89,Medium,2025-11-18,False
CON0016,CRE0438,Raycon,Travel & Adventure,7,1,6,True,False,False,False,90,Unlimited,1299.02,Medium,2026-03-06,False
CON0017,CRE0013,Betterment,Parenting & Family,7,1,6,False,False,False,True,45,1,2103.95,Medium,2025-11-02,True
