product_id,creator_id,product_name,niche,product_type,price_usd,market_price_usd,price_gap_pct,units_sold,total_revenue_usd,conversion_rate,platform_sold_on,launch_date,creator_follower_tier,creator_niche,has_affiliate_programme,affiliate_commission_pct,rating,review_count
PRD00001,CRE0350,Styling Checklist,Home Decor & Interior Design,Course,189.52,138.82,-36.5,7800,1478256.0,0.0272,Own Website,2025-07-17,Mid,Home Decor & Interior Design,True,0.0,4.1,386
PRD00002,CRE0031,Lab Notebook Template,Science & Space,Bundle,95.43,102.58,7.0,5817,555116.31,0.0656,Etsy,2025-03-24,Mid,Science & Space,True,0.26,3.6,173
PRD00003,CRE0430,Activity Ideas Bundle,Parenting & Family,Bundle,341.45,348.12,1.9,84419,28824867.55,0.0713,Patreon,2025-01-15,Mega,Parenting & Family,False,0.19,4.0,423
PRD00004,CRE0309,Launch Checklist,Business & Entrepreneurship,eBook,80.44,72.58,-10.8,7915,636682.6,0.0383,Gumroad,2024-10-07,Mid,Business & Entrepreneurship,False,0.0,4.6,450
PRD00005,CRE0433,Makeup Masterclass,Beauty & Fashion,Guide,369.3,760.63,51.4,32409,11968643.7,0.0683,Gumroad,2025-01-24,Mega,Beauty & Fashion,True,0.18,4.3,63
PRD00006,CRE0307,Notion Template Pack,Technology & Software,Course,207.02,209.59,1.2,9988,2067715.76,0.0517,Patreon,2025-03-12,Mid,Technology & Software,True,0.26,3.9,167
PRD00007,CRE0573,Confidence Course,Personal Development,Guide,22.5,22.53,0.1,255,5737.5,0.0574,Podia,2025-05-05,Micro,Personal Development,False,0.29,5.0,352
PRD00008,CRE0379,Sustainability Tracker,Sustainable Living,eBook,498.32,503.05,0.9,4489,2236958.48,0.021,Own Website,2025-10-12,Macro,Sustainable Living,False,0.0,4.1,148
PRD00009,CRE0501,Automation Course,Technology & Software,eBook,45.86,35.16,-30.4,1583,72596.38,0.0298,Gumroad,2024-09-22,Micro,Technology & Software,False,0.0,3.6,246
PRD00010,CRE0092,DIY Tutorial Bundle,Home Decor & Interior Design,Guide,152.93,151.02,-1.3,4568,698584.24,0.0706,Patreon,2025-02-15,Mid,Home Decor & Interior Design,False,0.0,4.9,173
PRD00011,CRE0198,Dog Training Guide,Pet Care,Guide,245.06,228.62,-7.2,69168,16950310.08,0.0551,Own Website,2024-06-14,Mega,Pet Care,True,0.26,4.6,257
PRD00012,CRE0504,Budget Spreadsheet,Finance & Investing,eBook,226.02,161.06,-40.3,13036,2946396.72,0.0381,Teachable,2024-05-04,Mid,Finance & Investing,False,0.0,3.5,270
PRD00013,CRE0028,Activity Ideas Bundle,Parenting & Family,Preset Pack,28.84,48.08,40.0,304,8767.36,0.0773,Gumroad,2024-09-20,Micro,Parenting & Family,False,0.0,4.0,211
PRD00014,CRE0496,Family Budget Sheet,Parenting & Family,eBook,29.11,31.59,7.9,222,6462.42,0.0487,Podia,2024-05-25,Micro,Parenting & Family,True,0.11,4.3,300
PRD00015,CRE0434,Meal Prep Guide,Food & Cooking,Guide,71.81,111.63,35.7,10329,741725.49,0.0647,Podia,2025-09-20,Mid,Food & Cooking,True,0.0,4.2,424
