content_id,creator_id,niche,platform,content_format,topic,publish_date,views,likes,comments,saves,shares,watch_time_pct,affiliate_clicks,affiliate_revenue_usd,product_sales,product_revenue_usd,total_revenue_usd,production_hours,revenue_per_hour_usd,is_high_converting,has_affiliate_link,has_product_link
CON00001,CRE0583,Education & Online Courses,YouTube,Substack Issue,Note-Taking System,2025-12-16,6984,287,22,42,84,0.405,65,0.0,0,0.0,0.0,3.2,0.0,False,True,False
CON00002,CRE0216,Gaming & Esports,LinkedIn,LinkedIn Post,Challenge Run,2025-09-21,26287,2681,787,763,556,0.466,1859,4484.88,104,16313.91,20798.79,0.6,34043.74,True,True,True
CON00003,CRE0449,Language Learning,Substack,Instagram Post,Immersion Tips,2025-11-09,34069,1039,487,1323,462,0.244,65,0.0,0,0.0,0.0,1.9,0.0,False,True,False
CON00004,CRE0230,Gaming & Esports,Substack,TikTok,Challenge Run,2025-11-22,105583,9553,284,3241,2166,0.407,515,0.0,0,0.0,0.0,2.3,0.0,False,True,False
CON00005,CRE0033,Language Learning,Instagram,YouTube Video,Grammar Explained,2025-10-18,17310,813,42,565,102,0.405,135,0.0,0,0.0,0.0,5.7,0.0,False,True,False
CON00006,CRE0470,Photography & Videography,Instagram,Instagram Post,Behind the Scenes,2025-11-01,257020,11317,3449,4745,3062,0.673,627,0.0,0,0.0,0.0,1.5,0.0,False,True,False
CON00007,CRE0502,Pet Care,LinkedIn,Instagram Post,Vet Visit Story,2026-02-12,51238,3588,387,2356,289,0.36,1198,7642.89,26,3388.93,11031.82,1.7,6633.29,True,True,True
CON00008,CRE0103,Food & Cooking,TikTok,TikTok,Recipe Breakdown,2025-12-06,107702,5356,1351,4955,1916,0.264,497,0.0,0,0.0,0.0,0.8,0.0,False,True,False
CON00009,CRE0302,Home Decor & Interior Design,LinkedIn,TikTok,IKEA Hacks,2025-11-13,140921,11233,2278,3406,1946,0.387,1208,0.0,0,0.0,0.0,1.7,0.0,False,True,False
CON00010,CRE0320,Comedy & Entertainment,Substack,Substack Issue,Storytime,2026-03-12,7607,662,165,308,115,0.214,74,0.0,0,0.0,0.0,2.7,0.0,False,True,False
CON00011,CRE0015,Comedy & Entertainment,Instagram,Instagram Story,Parody,2026-01-02,516080,33227,1334,10231,16226,0.329,2335,0.0,0,0.0,0.0,0.3,0.0,False,True,False
CON00012,CRE0347,Beauty & Fashion,Substack,LinkedIn Post,Makeup Tutorial,2025-11-16,2260,163,43,83,61,0.572,9,0.0,0,0.0,0.0,1.3,0.0,False,True,False
CON00013,CRE0376,Gaming & Esports,Twitter/X,Instagram Reel,Challenge Run,2025-11-14,962,80,17,17,29,0.384,9,0.0,0,0.0,0.0,2.8,0.0,False,True,False
CON00014,CRE0449,Technology & Software,Twitter/X,Substack Issue,Notion Setup Tour,2026-01-02,1446143,111342,38928,69714,10547,0.21,65080,157883.4,3710,654649.81,812533.21,2.7,304594.88,True,True,True
CON00015,CRE0435,Home Decor & Interior Design,LinkedIn,Instagram Post,Small Space Ideas,2025-10-30,7741,180,140,299,225,0.603,54,0.0,0,0.0,0.0,0.9,0.0,False,True,False
CON00016,CRE0029,Finance & Investing,LinkedIn,Instagram Post,Investing for Beginners,2026-01-12,6956,702,108,304,265,0.608,6,0.0,0,0.0,0.0,1.5,0.0,False,True,False
CON00017,CRE0363,Music & Audio Production,Instagram,Instagram Reel,Music Theory Explained,2025-11-29,9310,248,259,343,131,0.582,41,0.0,0,0.0,0.0,1.4,0.0,False,True,False
CON00018,CRE0568,Pet Care,YouTube,Substack Issue,Dog Training Tips,2025-11-17,4325,179,21,141,156,0.318,7,0.0,0,0.0,0.0,1.4,0.0,False,True,False
CON00019,CRE0185,Photography & Videography,Instagram,LinkedIn Post,Behind the Scenes,2026-02-03,8195,688,200,317,173,0.604,27,0.0,0,0.0,0.0,0.7,0.0,False,True,False
CON00020,CRE0240,Education & Online Courses,TikTok,YouTube Video,Learning Hack,2025-11-29,39008,2905,946,621,1211,0.55,2802,2247.65,212,14133.93,16381.58,5.1,3223.44,True,True,True
CON00021,CRE0517,Parenting & Family,TikTok,Substack Issue,Family Vlog,2025-10-06,174671,15428,661,6765,6816,0.538,1113,0.0,0,0.0,0.0,2.0,0.0,False,True,False
CON00022,CRE0368,Technology & Software,TikTok,TikTok,Tech Gear Setup,2026-02-15,17488,1825,520,121,164,0.281,437,1753.92,34,1013.78,2767.7,1.6,1714.49,True,True,True
CON00023,CRE0264,Beauty & Fashion,YouTube,Instagram Post,Makeup Tutorial,2025-12-10,65459,2858,349,787,328,0.415,176,0.0,0,0.0,0.0,1.0,0.0,False,True,False
CON00024,CRE0119,Pet Care,TikTok,LinkedIn Post,Dog Training Tips,2025-11-09,188587,6963,2673,5601,6160,0.462,112,0.0,0,0.0,0.0,0.4,0.0,False,True,False
CON00025,CRE0367,Comedy & Entertainment,TikTok,TikTok,Storytime,2025-10-10,5701,410,134,172,71,0.648,3,0.0,0,0.0,0.0,1.6,0.0,False,True,False
CON00026,CRE0427,Sustainable Living,LinkedIn,Substack Issue,Eco Product Review,2026-02-15,9232,933,186,222,313,0.428,342,1931.73,30,5906.18,7837.91,4.9,1594.2,True,True,True
CON00027,CRE0329,Gaming & Esports,YouTube,YouTube Short,Game Lore Deep Dive,2025-12-26,23505,2790,642,667,226,0.47,189,0.0,0,0.0,0.0,1.9,0.0,False,True,False
CON00028,CRE0582,Sustainable Living,TikTok,Instagram Story,Zero Waste Swaps,2026-02-22,268225,16444,3034,2786,5380,0.26,1683,0.0,0,0.0,0.0,0.4,0.0,False,True,False
CON00029,CRE0309,Language Learning,YouTube,YouTube Video,Grammar Explained,2025-11-14,38708,2910,471,1312,305,0.393,242,0.0,0,0.0,0.0,8.3,0.0,False,True,False
CON00030,CRE0314,Personal Development,Instagram,Instagram Post,Productivity System,2026-01-25,123981,8785,1536,2297,2743,0.747,252,0.0,0,0.0,0.0,0.5,0.0,False,True,False
CON00031,CRE0593,Photography & Videography,Instagram,YouTube Video,Behind the Scenes,2026-02-27,41518,3825,694,1413,861,0.367,77,0.0,0,0.0,0.0,6.1,0.0,False,True,False
CON00032,CRE0085,Music & Audio Production,Twitter/X,Instagram Post,Gear Review,2026-02-16,12329,343,242,308,284,0.232,816,3834.75,44,3571.71,7406.46,0.8,9277.0,True,True,True
CON00033,CRE0303,Pet Care,TikTok,Instagram Post,Rescue Animal Story,2025-10-24,2461,194,43,52,86,0.537,44,116.71,3,394.72,511.43,0.6,893.91,True,True,True
CON00034,CRE0536,Comedy & Entertainment,Substack,YouTube Video,Storytime,2025-11-27,6297,305,171,180,135,0.271,15,0.0,0,0.0,0.0,6.3,0.0,False,True,False
CON00035,CRE0098,Technology & Software,Instagram,Instagram Reel,Notion Setup Tour,2026-01-13,14500,513,65,170,225,0.32,29,0.0,0,0.0,0.0,3.8,0.0,False,True,False
CON00036,CRE0572,Gaming & Esports,Twitter/X,YouTube Video,Stream Highlights,2025-11-01,1052839,64039,19545,35676,25580,0.412,10307,0.0,0,0.0,0.0,9.5,0.0,False,True,False
CON00037,CRE0302,Travel & Adventure,Instagram,YouTube Video,Hidden Gems in Bali,2025-12-10,121342,3648,2842,3336,1999,0.202,635,0.0,0,0.0,0.0,8.7,0.0,False,True,False
CON00038,CRE0193,Home Decor & Interior Design,YouTube,YouTube Short,Budget Decor,2025-12-29,9696,497,221,243,150,0.74,62,0.0,0,0.0,0.0,1.3,0.0,False,True,False
CON00039,CRE0163,Music & Audio Production,YouTube,Substack Issue,Studio Vlog,2025-11-27,10773,1007,32,494,105,0.322,73,0.0,0,0.0,0.0,4.9,0.0,False,True,False
CON00040,CRE0483,Education & Online Courses,Twitter/X,TikTok,Learning Hack,2025-09-28,48688,3302,1256,634,559,0.227,312,0.0,0,0.0,0.0,1.8,0.0,False,True,False
CON00041,CRE0145,Science & Space,YouTube,YouTube Short,Documentary Reaction,2025-10-27,17472,1697,39,351,649,0.591,150,0.0,0,0.0,0.0,1.0,0.0,False,True,False
CON00042,CRE0297,Pet Care,Instagram,YouTube Video,Pet Haul,2025-12-25,4384,507,84,181,124,0.532,21,0.0,0,0.0,0.0,5.9,0.0,False,True,False
CON00043,CRE0119,Technology & Software,TikTok,Instagram Post,App Review,2025-09-30,2323,202,35,61,30,0.654,11,0.0,0,0.0,0.0,1.3,0.0,False,True,False
CON00044,CRE0084,Pet Care,Substack,Instagram Story,Vet Visit Story,2026-02-10,38361,1880,183,1061,1287,0.672,203,0.0,0,0.0,0.0,0.4,0.0,False,True,False
CON00045,CRE0136,Photography & Videography,LinkedIn,YouTube Video,Camera Gear Review,2026-03-14,29311,1336,468,855,944,0.344,268,0.0,0,0.0,0.0,8.4,0.0,False,True,False
CON00046,CRE0024,Pet Care,YouTube,Instagram Post,Vet Visit Story,2025-12-25,3167,178,88,113,71,0.453,7,0.0,0,0.0,0.0,1.4,0.0,False,True,False
CON00047,CRE0286,Personal Development,TikTok,LinkedIn Post,Productivity System,2026-03-17,392,20,6,12,7,0.629,0,0.0,0,0.0,0.0,1.5,0.0,False,False,False
CON00048,CRE0161,Parenting & Family,LinkedIn,Instagram Reel,Family Vlog,2026-02-21,66912,1457,1790,1697,1442,0.318,4360,10877.41,385,34667.11,45544.52,1.3,35509.2,True,True,True
CON00049,CRE0471,Photography & Videography,YouTube,Instagram Story,Camera Gear Review,2025-11-21,41475,2504,883,1571,466,0.679,388,0.0,0,0.0,0.0,0.2,0.0,False,True,False
CON00050,CRE0222,Business & Entrepreneurship,Instagram,Instagram Story,Business Mistakes,2025-11-09,60063,3358,566,884,1634,0.29,2784,9868.45,222,38254.83,48123.28,0.4,114524.04,True,True,True
CON00051,CRE0312,Education & Online Courses,TikTok,YouTube Short,Study With Me,2025-11-07,28013,3119,521,496,432,0.746,265,0.0,0,0.0,0.0,1.7,0.0,False,True,False
CON00052,CRE0266,Technology & Software,YouTube,YouTube Video,Best AI Tools 2025,2025-12-29,315906,25213,9315,3040,5686,0.729,191,0.0,0,0.0,0.0,8.8,0.0,False,True,False
CON00053,CRE0356,Language Learning,LinkedIn,LinkedIn Post,Grammar Explained,2025-09-30,139653,16009,2467,2343,3820,0.42,696,0.0,0,0.0,0.0,1.5,0.0,False,True,False
CON00054,CRE0169,Food & Cooking,LinkedIn,Instagram Post,Recipe Breakdown,2025-11-26,1960,221,53,43,29,0.411,3,0.0,0,0.0,0.0,1.9,0.0,False,True,False
CON00055,CRE0579,Business & Entrepreneurship,Substack,Instagram Reel,Cold Email Tips,2025-09-23,9784,286,86,84,302,0.512,8,0.0,0,0.0,0.0,1.1,0.0,False,True,False
CON00056,CRE0374,Education & Online Courses,Twitter/X,YouTube Short,Note-Taking System,2025-12-03,10438,743,80,113,194,0.21,37,0.0,0,0.0,0.0,0.9,0.0,False,True,False
CON00057,CRE0486,Finance & Investing,Twitter/X,YouTube Short,Investing for Beginners,2025-10-26,285301,23777,7475,7007,5706,0.57,1404,0.0,0,0.0,0.0,1.7,0.0,False,True,False
CON00058,CRE0104,Pet Care,Substack,Instagram Story,Pet Haul,2025-12-31,14522,1563,406,119,569,0.433,298,1010.67,27,2815.05,3825.72,0.3,11426.07,True,True,True
CON00059,CRE0313,Education & Online Courses,LinkedIn,YouTube Video,Course Review,2025-12-25,2184,129,7,14,29,0.583,11,0.0,0,0.0,0.0,6.8,0.0,False,True,False
CON00060,CRE0237,Gaming & Esports,Instagram,Instagram Post,Stream Highlights,2025-11-19,4623,337,69,80,63,0.559,28,0.0,0,0.0,0.0,1.5,0.0,False,True,False
